 Element Set	Stack-up	Rosette 
 Parefeu	40	8
 Plancher technique bas (milieu)	30	1
 Support profondeur face AV	32	3
 Support profondeur haut	32	1
 Support profondeur face AR	5	3
 Couples renforts |40mm| dir x-	36	3
 Couples renforts |30mm| dir x-	35	3
 Couple proche support profondeur dir x+	35	3
 Couple proche support profondeur dir x-	10	3
 Couples renforts sous support profondeur (AV dir x-)	10	3
 Couples renforts sous support profondeur (AV dir x+)	10	3
 Couples renforts sous support profondeur (AR dir x-)	5	3
 Couples renforts sous support profondeur (AR dir x+)	10	3
 Paroi AR cockpit	34	3
 Paroi AR support profondeur	10	3
 Renfort horizontal fuselage Ar	34	1
 Rajout profondeur mobile partie haute	11	1
 Rajout profondeur mobile partie basse	11	1
 Rajout profondeur mobile partie AR	11	3
 Lisses principales prolongement plancher technique |o|	39	1
 Lisses principales renfort lisse parefeu dessus	2	1
 Couple fixation aile milieu	33	3
 Lisses centrales partie milieu	38	2
 Couple fixation aile AR	32	3
 Lisses principales renfort lisse parefeu face AV	42	8
 Couple fixation ecope radiateur	37	3
 Plancher technique bas (cotes)	39	1
 Couple renfort ecope radiateur	10	3
 Couple incline radiateur	10	6
 Contour derive face AR	5	3
 Contour derive H drapage Z+	5	1
 Contour derive H drapage Z-	5	1
 Contour derive face AV partie haute inclinee	5	6
 Contour derive face AV partie basse inclinee	5	7
 Contour verriere	6	1
 Lisses centrales partie superieure	3	1
 Lisses centrales partie inferieure	3	1
 Lisse radiateur cote gauche exterieur	2	2
 Lisse radiateur cote gauche interieur	3	2
 Lisse radiadteur cote gauche partie superieure	4	1
 Lisse radiateur cote gauche partie inferieure	4	1
 Lisse radiateur cote gauche milieu	4	1
 Plancher technique vertical G	39	2
 Plancher technique vertical D	39	2
 Support mecanisme verriere bas |o|	6	1
 Support mecanisme verriere milieu |o|	6	1
 Support mecanisme verriere haut |o|	6	1
 Support mecanisme verriere AV |o|	7	3
 Support mecanisme verriere face support |o	6	2
 Support mecanisme verriere contour fuselage |o	6	2
 Support mecanisme verriere face support o|	6	2
 Support mecanisme verriere contour fuselage o|	6	2
 Support mecanisme verriere raccord fuselage o|	6	2
 Plancher technique horizontal haut G D	39	1
 Panneaux fuselage HG	2	5
 Contour ouverture sous derive D	11	1
 Contour ouverture train AR G	11	1
 Soyage renfort couples / poche train AR G	15	1
 Panneaux fuselage lateraux MG	2	2
 Squelette renforts couples HG	11	5
 Squelette renforts couples MG	11	2
 Squelette renforts couples BG	11	4
 Squelette renforts couples HD	11	4
 Squelette renforts couples MD	11	2
 Squelette renforts couples BD	11	5
 Panneaux fuselage BG	2	4
 Soyage jonction fus AR / derive MD	13	2
 Soyage jonction fus AR / derive BD	13	5
 Soyage jonction fus AR / derive MG	13	2
 Soyage jonction fus AR / derive BG	13	4
 Soyage jonction cockpit / fus AR MG	13	2
 Panneaux fuselage HD	2	4
 Soyage jonction cockpit fus AR HG	13	5
 Soyage jonction cockpit fus AR MD	13	2
 Soyage jonction cockpit / fus AR HD	13	4
 Contour ouverture sous derive G	11	1
 Contour ouverture train AR D	11	1
 Soyage renfort couples / poches train AR D	15	1
 Karman support profondeur G	7	2
 Karman support profondeur D	7	2
 Panneaux fuselage lateraux MD	2	2
 Lisse principale cote gauche exterieur	3	2
 Lisse principale cote gauche interieur	3	2
 Lisse principale cote gauche haut	4	1
 Lisses principales cote gauche milieu	38	1
 Lisse principale cote gauche bas	4	1
 Lisse principale cote gauche soyage bas plancher	8	1
 Lisse principale cote gauche soyage lateral plancher int	8	2
 Lisse principale cote gauche soyage haut renfort couples	3	1
 Lisse principale cote gauche soyage bas renforts couples	3	1
 Panneaux fuselage BD	2	5
 Lisse principale cote gauche soyage haut jonctions fuselage	3	1
 Lisse principale cote gauche soyage lateral jonctions fuselage int	14	2
 Lisse principale cote gauche soyage lateral jonctions fuselage ext	12	2
 Lisse principale cote droit exterieur	3	2
 Lisse principale cote droit interieur	3	2
 Lisse principale cote droit haut	4	1
 Lisse principale cote droit milieu	38	1
 Lisse principale cote droit bas	4	1
 Lisse principales cote droit soyage bas plancher	8	1
 Lisse principale cote droit soyage lateral plancher int	8	2
 Lisse principale cote droit soyage haut renforts couples	3	1
 Lisse principale cote droit soyage bas renforts couples	3	1
 Lisse principale cote droit soyage haut jonctions fuselage	3	1
 Lisse principale cote droit soyage lateral jonction fuselage int	14	2
 Lisse principale cote droit soyage lateral jonctions fuselage ext	12	2
 Lisses centrales cote droit	4	2
 Lisses centrales cote gauche	4	2
 Lisses centrales soyage renforts couples cote droit	3	2
 Lisses centrales soyage renforts couples cote gauche	3	2
 Lisse radiateur cote droit exterieur	2	2
 Lisse radiateur cote droit interieur	3	2
 Lisse radiateur cote droit partie superieure	4	1
 Lisse radiateur cote droit partie inferieure	4	1
 Lisse radiateur cote droit milieu	38	1
 Support mecanisme verriere raccord fuselage |o	6	2
 Lisses centrales soyages renforts couples haut	12	1
 Lisses centrales soyages renforts couples bas	12	1
 Poutre renfort cockpit face AV	3	3
 Poutre renfort cockpit face AR	3	3
 Poutre renfort cockpit face superieure	3	1
 Poutre renfort cockpit face inferieure	3	1
 Poutre renfort cockpit gauche	3	2
 Poutre renfort cockpit droite	3	2
 Plans renforts radiateur partie inclinee AR	34	7
 Plans renforts radiateur partie inclinee AV	34	6
 Plans renforts radiateur partie inclinee raccord AV	34	1
 Prolongement fuselage carrosserie MD	3	2
 Prolongement fuselage carrosserie BD	3	5
 Prolongement fuselage carrosserie bas	3	1
 Prolongement fuselage carrosserie BG	3	4
 Prolongement fuselage carrosserie G	3	2
 Aile Partie sup ouverture boite 0 haut	26	1
 Aile Partie sup soyage panneau principal boite 0 haut	8	1
 Aile Partie sup panneau principal boite 0 haut	18	1
 Aile Partie sup soyage haut milieu boite 0	1	1
 Aile Partie sup soyage milieu / AV boite 0 haut	27	1
 Aile Partie sup soyage lateraux haut milieu boite 0	25	1
 Aile Partie sup liaison AV + soyage milieu / AR boite 0 haut	17	1
 Aile Partie sup soyage lateraux AR boite 0 haut	20	1
 Aile Partie sup soyage panneau AR	5	1
 Aile Partie sup panneau AR	19	1
 Aile Partie sup panneau AV	8	1
 Aile Partie sup renfort d'angle	8	1
 Aile Partie inf panneau principal	18	1
 Aile Partie inf soyage panneau principal	8	1
 Aile Partie inf contour soyage panneau principal	1	1
 Aile Partie inf soyages lateraux	25	1
 Aile Partie inf liaison milieu / AR	17	1
 Aile Partie inf panneau AR	19	1
 Aile Partie inf soyage panneau AR	5	1
 Aile Partie inf soyage lateraux AR	20	1
 Aile Partie inf panneau VA	8	1
 Aile Partie inf soyage bas poutre renfort	25	1
 Aile Partie inf soyages extremites laterales	17	1
 Aile Partie AV zone contact parefeu	24	8
 Aile Partie AV zones laterales	24	8
 Aile Partie AV poutre renfort contact parefeu	8	8
 Aile Partie AR panneau principal 1 (int)	19	3
 Aile Partie AR soyage panneau principal 1 (int)	8	3
 Aile Partie AR panneau principal 2 (ext)	23	3
 Aile Partie AR bagues carbones	21	3
 Aile Partie AR soyage panneau principal 2 (ext)	5	3
 Aile Partie AR soyages lateraux	20	3
 Aile Partie AR soyages lateraux (int)	29	3
 Aile Partie milieu panneau principal	24	3
 Aile Partie milieu soyage panneau principal	8	3
 Aile Partie milieu drapage bagues carbones	21	3
 Aile Partie milieu soyage poutre renfort	25	3
 Aile Partie milieu AR poutre renfort	8	3
 Aile Partie milieu soyages lateraux	17	3
 Aile Partie milieu extremites laterales	29	3
 Aile Poutre renfort paroi gauche |o	22	2
 Aile Poutre renfort paroi droite o|	22	2
 Aile Poutre renfort haut	22	1
 Aile Panneaux lateraux cote gauche ext |o	5	2
 Aile Panneaux lateraux cote gauche paroi ajouree int |o	8	2
 Aile Panneaux lateraux cote gauche soyage arche int |o	29	2
 Aile Panneaux lateraux cote gauche ext AR |o	22	2
 Aile Panneaux lateraux cote droit ext o|	5	2
 Aile Panneaux lateraux cote droit paroi ajouree int o|	8	2
 Aile Panneaux lateraux cote droit soyage arche int o|	29	2
 Aile Panneaux lateraux cote droit ext AR o|	22	2
 Aile Renfort y=0	30	2
 Aile panneaux lateraux cote gauche arche int |o	5	2
 Aile panneaux lateraux cote droit arche int o|	5	2
